config,population_size,strategy,generation,best_fitness,avg_fitness,best_avg_score,best_avg_cost,best_avg_steps,best_avg_cells_accessed,best_eval_time_ms,best_success_rate
A_pop_3,3,full,0,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.4,1.0
A_pop_3,3,full,1,931.5794,907.4944,931.6944,57.5,24.5,249.0,6.9,1.0
A_pop_3,3,full,2,931.5794,909.9029,931.6944,57.5,24.5,249.0,6.9,1.0
A_pop_3,3,full,3,931.5794,921.2573,931.6944,57.5,24.5,249.0,11.9,1.0
A_pop_3,3,full,4,931.5794,931.5794,931.6944,57.5,24.5,249.0,11.9,1.0
A_pop_3,3,random_only,0,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.8,1.0
A_pop_3,3,random_only,1,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.6,1.0
A_pop_3,3,random_only,2,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.7,1.0
A_pop_3,3,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.4,1.0
A_pop_3,3,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.3,1.0
B_pop_5,5,full,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.4,1.0
B_pop_5,5,full,1,951.6314,548.1062,951.6944,31.5,30.5,347.5,9.3,1.0
B_pop_5,5,full,2,951.6314,923.5417,951.6944,31.5,30.5,347.5,9.1,1.0
B_pop_5,5,full,3,951.6314,948.2894,951.6944,31.5,30.5,347.5,16.8,1.0
B_pop_5,5,full,4,951.6314,949.1249,951.6944,31.5,30.5,347.5,22.7,1.0
B_pop_5,5,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.4,1.0
B_pop_5,5,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.4,1.0
B_pop_5,5,random_only,2,895.4519,511.2574,895.6389,93.5,38.5,116.0,1.2,1.0
B_pop_5,5,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.2,1.0
B_pop_5,5,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.2,1.0
C_pop_7,7,full,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.3,1.0
C_pop_7,7,full,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,3.2,1.0
C_pop_7,7,full,2,960.4231,756.8714,960.4861,31.5,30.5,113.5,6.8,1.0
C_pop_7,7,full,3,960.4231,923.2967,960.4861,31.5,30.5,113.5,9.5,1.0
C_pop_7,7,full,4,960.4231,960.4231,960.4861,31.5,30.5,113.5,9.5,1.0
C_pop_7,7,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.8,1.0
C_pop_7,7,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
C_pop_7,7,random_only,2,895.4519,716.1611,895.6389,93.5,38.5,116.0,1.6,1.0
C_pop_7,7,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.5,1.0
C_pop_7,7,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.4,1.0
D_pop_9,9,full,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.9,1.0
D_pop_9,9,full,1,948.437,547.4674,948.5,31.5,30.5,420.0,8.0,1.0
D_pop_9,9,full,2,948.437,790.095,948.5,31.5,30.5,420.0,8.3,1.0
D_pop_9,9,full,3,948.437,948.437,948.5,31.5,30.5,420.0,8.3,1.0
D_pop_9,9,full,4,948.437,948.437,948.5,31.5,30.5,420.0,6.3,1.0
D_pop_9,9,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.5,1.0
D_pop_9,9,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.5,1.0
D_pop_9,9,random_only,2,895.4519,671.3384,895.6389,93.5,38.5,116.0,1.2,1.0
D_pop_9,9,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.3,1.0
D_pop_9,9,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.5,1.0
