config,w1,w2,w3,strategy,generation,best_fitness,avg_fitness,best_avg_score,best_avg_cost,best_avg_steps,best_avg_cells_accessed,best_eval_time_ms,best_success_rate
A_score_heavy,1,0,0,full,0,895.6389,447.3194,895.6389,93.5,38.5,116.0,2.0,1.0
A_score_heavy,1,0,0,full,1,928.5556,543.5667,928.5556,57.5,24.5,324.5,5.0,1.0
A_score_heavy,1,0,0,full,2,951.6944,914.9896,951.6944,31.5,30.5,347.5,5.2,1.0
A_score_heavy,1,0,0,full,3,960.4861,941.5903,960.4861,31.5,30.5,113.5,5.4,1.0
A_score_heavy,1,0,0,full,4,960.4861,956.0903,960.4861,31.5,30.5,113.5,2.2,1.0
A_score_heavy,1,0,0,full,5,960.4861,960.4861,960.4861,31.5,30.5,113.5,2.2,1.0
A_score_heavy,1,0,0,full,6,960.4861,960.4861,960.4861,31.5,30.5,113.5,2.2,1.0
A_score_heavy,1,0,0,random_only,0,895.6389,447.3194,895.6389,93.5,38.5,116.0,1.7,1.0
A_score_heavy,1,0,0,random_only,1,895.6389,447.3194,895.6389,93.5,38.5,116.0,1.7,1.0
A_score_heavy,1,0,0,random_only,2,895.6389,511.3651,895.6389,93.5,38.5,116.0,1.4,1.0
A_score_heavy,1,0,0,random_only,3,895.6389,895.6389,895.6389,93.5,38.5,116.0,1.3,1.0
A_score_heavy,1,0,0,random_only,4,895.6389,895.6389,895.6389,93.5,38.5,116.0,1.3,1.0
A_score_heavy,1,0,0,random_only,5,895.6389,746.1991,895.6389,93.5,38.5,116.0,1.3,1.0
A_score_heavy,1,0,0,random_only,6,895.6389,895.6389,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,full,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,full,1,928.4406,543.4681,928.5556,57.5,24.5,324.5,3.7,1.0
B_baseline,0.5,0.3,0.2,full,2,951.6314,784.838,951.6944,31.5,30.5,347.5,5.2,1.0
B_baseline,0.5,0.3,0.2,full,3,960.4231,941.5013,960.4861,31.5,30.5,113.5,2.1,1.0
B_baseline,0.5,0.3,0.2,full,4,960.4231,955.3993,960.4861,31.5,30.5,113.5,2.2,1.0
B_baseline,0.5,0.3,0.2,full,5,960.4231,960.4231,960.4861,31.5,30.5,113.5,3.5,1.0
B_baseline,0.5,0.3,0.2,full,6,960.4231,960.4231,960.4861,31.5,30.5,113.5,3.5,1.0
B_baseline,0.5,0.3,0.2,random_only,0,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,random_only,1,895.4519,447.2249,895.6389,93.5,38.5,116.0,1.6,1.0
B_baseline,0.5,0.3,0.2,random_only,2,895.4519,511.2574,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,random_only,3,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,random_only,4,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.5,1.0
B_baseline,0.5,0.3,0.2,random_only,5,895.4519,746.0429,895.6389,93.5,38.5,116.0,1.3,1.0
B_baseline,0.5,0.3,0.2,random_only,6,895.4519,895.4519,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.33,0.33,0.34,full,0,895.321,447.1588,895.6389,93.5,38.5,116.0,1.6,1.0
C_balanced,0.33,0.33,0.34,full,1,928.3601,543.399,928.5556,57.5,24.5,324.5,3.7,1.0
C_balanced,0.33,0.33,0.34,full,2,951.5873,914.7439,951.6944,31.5,30.5,347.5,5.7,1.0
C_balanced,0.33,0.33,0.34,full,3,960.379,941.439,960.4861,31.5,30.5,113.5,2.3,1.0
C_balanced,0.33,0.33,0.34,full,4,960.379,955.9832,960.4861,31.5,30.5,113.5,2.3,1.0
C_balanced,0.33,0.33,0.34,full,5,960.379,960.379,960.4861,31.5,30.5,113.5,2.3,1.0
C_balanced,0.33,0.33,0.34,full,6,960.379,960.379,960.4861,31.5,30.5,113.5,2.3,1.0
C_balanced,0.33,0.33,0.34,random_only,0,895.321,447.1588,895.6389,93.5,38.5,116.0,1.6,1.0
C_balanced,0.33,0.33,0.34,random_only,1,895.321,447.1588,895.6389,93.5,38.5,116.0,1.6,1.0
C_balanced,0.33,0.33,0.34,random_only,2,895.321,511.182,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.33,0.33,0.34,random_only,3,895.321,895.321,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.33,0.33,0.34,random_only,4,895.321,895.321,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.33,0.33,0.34,random_only,5,895.321,745.9336,895.6389,93.5,38.5,116.0,1.3,1.0
C_balanced,0.33,0.33,0.34,random_only,6,895.321,895.321,895.6389,93.5,38.5,116.0,1.2,1.0
D_cost_heavy,0,0,1,full,0,894.7039,446.8469,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0,0,1,full,1,927.9806,543.0737,928.5556,57.5,24.5,324.5,5.3,1.0
D_cost_heavy,0,0,1,full,2,951.3794,784.3489,951.6944,31.5,30.5,347.5,5.2,1.0
D_cost_heavy,0,0,1,full,3,960.7544,941.2425,961.0694,31.5,30.5,97.5,7.7,1.0
D_cost_heavy,0,0,1,full,4,960.7544,955.3973,961.0694,31.5,30.5,97.5,1.9,1.0
D_cost_heavy,0,0,1,full,5,960.7544,823.2206,961.0694,31.5,30.5,97.5,1.6,1.0
D_cost_heavy,0,0,1,full,6,960.7544,960.7544,961.0694,31.5,30.5,97.5,1.9,1.0
D_cost_heavy,0,0,1,random_only,0,894.7039,446.8469,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0,0,1,random_only,1,894.7039,446.8469,895.6389,93.5,38.5,116.0,1.6,1.0
D_cost_heavy,0,0,1,random_only,2,894.7039,510.8265,895.6389,93.5,38.5,116.0,1.3,1.0
D_cost_heavy,0,0,1,random_only,3,894.7039,894.7039,895.6389,93.5,38.5,116.0,1.3,1.0
D_cost_heavy,0,0,1,random_only,4,894.7039,894.7039,895.6389,93.5,38.5,116.0,1.3,1.0
D_cost_heavy,0,0,1,random_only,5,894.7039,745.4182,895.6389,93.5,38.5,116.0,1.4,1.0
D_cost_heavy,0,0,1,random_only,6,894.7039,894.7039,895.6389,93.5,38.5,116.0,1.3,1.0
